Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
"Bytco College, Nashik Road",crossfit,Fitness Legacy unisex gym,077579 99992,,4.7,139.0
"Bytco Point, Nashik Road",crossfit,Core Fitness Unisex Gym | Best Gym In Nashik,0253 299 0909,,4.8,136.0
"Bytco Point, Nashik Road",crossfit,Grow up Gym,075064 07916,,4.3,133.0
"Bytco Point, Nashik Road",crossfit,Multifit club,099705 88185,,5.0,96.0
"Bytco Point, Nashik Road",lounge,Hotel Avanti,0253 245 9616,,3.7,993.0
"Muktidham, Nashik Road",lounge,Kadam Mangal Karyalaya and Lawns,096731 16200,,4.0,702.0
"Muktidham, Nashik Road",lounge,Rana's Snacks (Thalipith) Centre,,,4.3,605.0
"Muktidham, Nashik Road",lounge,Hotel Theem Plaaza Nashik,091300 34093,,3.9,572.0
"Muktidham, Nashik Road",lounge,Eagle Sports Ground,,,4.3,524.0
"Bytco Point, Nashik Road",lounge,The Caves Family Restaurant & Bar,,,3.9,499.0
"Muktidham, Nashik Road",lounge,Hotel Orange Tree,,,3.3,390.0
"Muktidham, Nashik Road",lounge,Hotel sai lodge,,,3.3,347.0
"Bytco Point, Nashik Road",lounge,Leafy Veg & Non-Veg Bar Restaurant,099759 24437,,3.9,269.0
"Bytco Point, Nashik Road",lounge,"Professional Massage & Spa , for Ladies & Gents, Backpain ,Neck & Muscle pain, Muscle Stiffness",095116 19622,,5.0,268.0
"Bytco College, Nashik Road",nail salon,Sunrise wellness spa,070302 03099,,4.8,533.0
"Bytco Point, Nashik Road",nail salon,Show Stopper Unisex Salon,086980 34013,,4.4,354.0
"Bytco Point, Nashik Road",nail salon,Honey Beauty Studio & Academy,077568 05341,,4.9,241.0
"Bytco Point, Nashik Road",nail salon,Rupali lifestyle dipptizmakeovers,095619 80176,,4.8,147.0
"Bytco Point, Nashik Road",nail salon,Lotus Beauty Care Only for Women,098220 62940,,4.9,117.0
"Bytco College, Nashik Road",nail salon,Dimple's Beauty Care and Makeup Academy,086685 30505,,5.0,87.0
"Bytco College, Nashik Road",nail salon,VS Salon & Makeover,083294 05461,,5.0,63.0
"Bytco Point, Nashik Road",nail salon,Anaya Makeup Studio & Saloon,096995 60251,,5.0,47.0
"Bytco College, Nashik Road",nail salon,Dignity Salon,,,4.9,37.0
"Bytco Point, Nashik Road",nail salon,Style Beauty Salon,095952 82711,,3.5,24.0
"Bytco Point, Nashik Road",pilates studio,Euphoria Fitness Club,088302 07040,,4.2,297.0
"Bytco Point, Nashik Road",pilates studio,Fit N Fine Gym,0253 406 4254,,4.7,232.0
"Bytco Point, Nashik Road",pilates studio,My Fitness First Gym,096040 97003,,4.6,178.0
"Bytco Point, Nashik Road",pilates studio,Visho Fitness Mantra,098228 76452,,4.9,165.0
"Bytco Point, Nashik Road",pilates studio,Pro Health Fitness,,,5.0,129.0
"Bytco Point, Nashik Road",pilates studio,Workout zone,085308 11185,,4.7,74.0
"Bytco Point, Nashik Road",pilates studio,Pehelwaan Fitness (Gents & Separate Ladies Floor),080079 63408,,4.4,54.0
"Bytco Point, Nashik Road",pilates studio,AIM FITNESS STUDIO (Zumba),099601 49559,,4.9,52.0
"Bytco Point, Nashik Road",pilates studio,Shraddha Dance & Fitness Studio,097645 86772,,4.9,37.0
"Bytco Point, Nashik Road",pilates studio,PALDE'S FITNESS,092721 76662,,4.8,21.0
"Bytco Point, Nashik Road",restro bar,River Dine Restaurant & Banquet,099232 73444,,4.1,3095.0
"Bytco Point, Nashik Road",restro bar,GPS 99 RESTAURANT,086691 10119,,4.0,938.0
"Bytco Point, Nashik Road",restro bar,Hotel Mazda & Cafe - Best Cafe in Nashik| Family Restaurant in Nashik| Multicusion Restaurant in Nashik,085303 92333,,4.3,541.0
"Bytco Point, Nashik Road",restro bar,Sai Leela Family Restaurant & Snacks,098226 41888,,3.9,504.0
"Bytco Point, Nashik Road",restro bar,VAISHALI VEG & NON VEG FAMILY RESTAURANT,099755 84828,,4.1,502.0
"Bytco Point, Nashik Road",restro bar,HOTEL EXPRESS RESTO & BAR,095799 85559,,4.0,404.0
"Bytco Point, Nashik Road",restro bar,Hotel Rasoi,0253 235 1090,,3.9,366.0
"Bytco Point, Nashik Road",restro bar,Hotel Mamas Bar And FAMILY Restaurant,,,3.8,339.0
"Bytco Point, Nashik Road",restro bar,Hemraj Rest and Bar,,,4.0,185.0
"Bytco Point, Nashik Road",restro bar,Hotel Bhairavi Bar & Restro,,,3.7,180.0
"Muktidham, Nashik Road",specialty coffee shop,Muktidham Mandir,098508 44448,,4.5,16051.0
"Bytco Point, Nashik Road",specialty coffee shop,SAYANTARA,094231 75919,,4.3,5621.0
"Bytco Point, Nashik Road",specialty coffee shop,Luscious Layers,077220 82092,,4.2,2294.0
"Bytco College, Nashik Road",specialty coffee shop,"Chai Ketali, College Road, Nashik",098909 78676,,4.0,1390.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Bliss,084849 52735,,4.1,1197.0
"Bytco Point, Nashik Road",specialty coffee shop,Coffee Junction 24hrs,,,3.9,950.0
"Bytco Point, Nashik Road",specialty coffee shop,COFFEE CLUB NX,094212 90675,,4.3,917.0
"Bytco College, Nashik Road",specialty coffee shop,Cafe Panchayat,088880 08368,,4.4,678.0
"Muktidham, Nashik Road",specialty coffee shop,Om Kutchhi Dabeli,079727 97618,,4.3,671.0
"Bytco Point, Nashik Road",specialty coffee shop,OM TEA HOUSE,086058 03344,,4.2,651.0
"Bytco Point, Nashik Road",unisex salon,Sam Unisex Salon | Nashik,086689 93861,,4.8,356.0
"Bytco Point, Nashik Road",unisex salon,Scissor Palace,097667 33618,,4.4,309.0
"Bytco Point, Nashik Road",unisex salon,M K FAMILY SALON (iT's YoUr TiMe To ShiNe) NASHIK HAIR STYLIST,079728 53676,,4.8,270.0
"Bytco Point, Nashik Road",unisex salon,Elegance Salon,081041 00135,,4.8,261.0
"Bytco Point, Nashik Road",unisex salon,AKSHAAY - Unisex Salon & Academy,093719 99355,,4.8,211.0
"Bytco Point, Nashik Road",unisex salon,Shortcuts Unisex Salon,095798 50368,,5.0,204.0
"Bytco Point, Nashik Road",unisex salon,THE HAIRPORT,099223 38669,,4.5,179.0
"Bytco Point, Nashik Road",unisex salon,Good Looking Hair Point,070205 16983,,4.8,161.0
"Bytco Point, Nashik Road",unisex salon,The Shape Up Salon,,,4.9,150.0
"Bytco Point, Nashik Road",unisex salon,Petals Beauty & Hair Studio,083297 09779,,4.9,137.0
